epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6665,0.86334,0.80608,1.17239,0.87348,0.8446,0.90154,0.73007,0.28752,2.37958,0.41713,0.0670332,0.000332998,0.000332998
2,175.172,0.83572,0.74626,1.15991,0.91406,0.86558,0.92019,0.74546,0.28106,0.43314,0.41316,0.0340238,0.000656907,0.000656907
3,257.309,0.8275,0.7642,1.15374,0.89876,0.8446,0.91116,0.73156,0.2813,0.43204,0.4117,0.00100492,0.000971388,0.000971388
4,339.795,0.83723,0.78024,1.16867,0.88573,0.86126,0.90677,0.72472,0.28788,0.95919,0.4164,0.000957571,0.000957571,0.000957571
5,422.214,0.83985,0.75966,1.16764,0.9387,0.85392,0.9312,0.74879,0.2771,0.31586,0.40664,0.000943429,0.000943429,0.000943429
6,505.317,0.82801,0.75259,1.15888,0.93206,0.86636,0.92082,0.74289,0.27951,0.76852,0.41364,0.000929286,0.000929286,0.000929286
7,587.442,0.81726,0.73236,1.14701,0.87215,0.86325,0.91627,0.72627,0.27666,0.71861,0.40685,0.000915143,0.000915143,0.000915143
8,669.511,0.812,0.72238,1.14303,0.93548,0.87413,0.93722,0.76124,0.26594,0.50403,0.39887,0.000901,0.000901,0.000901
9,750.498,0.79866,0.70665,1.14502,0.92712,0.85548,0.92757,0.7617,0.26761,0.36854,0.40219,0.000886857,0.000886857,0.000886857
10,832.538,0.78896,0.69389,1.13825,0.92061,0.86169,0.92779,0.76221,0.26447,0.8153,0.39928,0.000872714,0.000872714,0.000872714
11,914.659,0.77955,0.71251,1.12089,0.93553,0.86325,0.93423,0.77704,0.25608,0.35818,0.39488,0.000858571,0.000858571,0.000858571
12,996.594,0.79222,0.71138,1.13246,0.9406,0.87102,0.94466,0.7846,0.25986,0.26825,0.39398,0.000844429,0.000844429,0.000844429
13,1079.3,0.77022,0.65551,1.12464,0.9466,0.87646,0.94355,0.78968,0.24985,0.39188,0.393,0.000830286,0.000830286,0.000830286
14,1160.91,0.76379,0.65573,1.11894,0.93378,0.8984,0.94451,0.795,0.24614,0.43895,0.38749,0.000816143,0.000816143,0.000816143
15,1242.52,0.76767,0.66186,1.121,0.92391,0.89588,0.9469,0.78763,0.24569,0.57348,0.38808,0.000802,0.000802,0.000802
16,1324.23,0.74891,0.65488,1.11727,0.93355,0.89044,0.9449,0.78755,0.24784,0.52229,0.38744,0.000787857,0.000787857,0.000787857
17,1405.17,0.74232,0.64305,1.10103,0.9348,0.88267,0.94503,0.79589,0.23891,0.38805,0.3837,0.000773714,0.000773714,0.000773714
18,1487.43,0.74186,0.63644,1.1054,0.93203,0.90565,0.95001,0.80649,0.23638,0.44733,0.38387,0.000759571,0.000759571,0.000759571
19,1569.68,0.73603,0.62846,1.10408,0.95016,0.88874,0.94701,0.80788,0.23462,0.62042,0.3829,0.000745429,0.000745429,0.000745429
20,1651.58,0.73207,0.60869,1.10277,0.95529,0.892,0.95422,0.80461,0.24377,0.27386,0.38903,0.000731286,0.000731286,0.000731286
21,1733.15,0.71275,0.60159,1.09064,0.94434,0.90754,0.95404,0.80273,0.23219,0.35085,0.38115,0.000717143,0.000717143,0.000717143
22,1814.46,0.71479,0.60435,1.09435,0.95638,0.90294,0.95512,0.81726,0.23063,0.35355,0.38039,0.000703,0.000703,0.000703
23,1895.83,0.70092,0.59108,1.07748,0.96124,0.89744,0.95328,0.81796,0.23332,0.27775,0.38326,0.000688857,0.000688857,0.000688857
24,1977.24,0.70352,0.59531,1.08075,0.96679,0.88811,0.95161,0.80981,0.2329,0.40461,0.38209,0.000674714,0.000674714,0.000674714
25,2059.53,0.70879,0.59356,1.07983,0.96072,0.90831,0.95564,0.81874,0.23009,0.29241,0.38235,0.000660571,0.000660571,0.000660571
26,2141.3,0.69247,0.59197,1.07863,0.95791,0.90182,0.95484,0.82082,0.22559,0.36939,0.37696,0.000646429,0.000646429,0.000646429
27,2222.97,0.69142,0.56623,1.07425,0.96111,0.90243,0.95359,0.82136,0.2208,0.24165,0.37428,0.000632286,0.000632286,0.000632286
28,2305.54,0.68379,0.55378,1.06848,0.95856,0.91142,0.9598,0.82288,0.22552,0.29268,0.37768,0.000618143,0.000618143,0.000618143
29,2387.74,0.67927,0.55819,1.06483,0.95541,0.90287,0.95583,0.82764,0.21578,0.39929,0.37086,0.000604,0.000604,0.000604
30,2469.67,0.67554,0.53794,1.07078,0.95438,0.9021,0.95543,0.82533,0.21789,0.29181,0.37148,0.000589857,0.000589857,0.000589857
31,2551.19,0.66327,0.53464,1.05544,0.97004,0.91453,0.96223,0.83066,0.21591,0.22489,0.3711,0.000575714,0.000575714,0.000575714
32,2633.55,0.66517,0.54924,1.05698,0.96367,0.90287,0.96204,0.83111,0.21572,0.27424,0.37118,0.000561571,0.000561571,0.000561571
33,2715.43,0.66754,0.55369,1.06507,0.94785,0.9321,0.96238,0.84009,0.21103,0.32685,0.36939,0.000547429,0.000547429,0.000547429
34,2797.52,0.64843,0.53836,1.05491,0.96106,0.91453,0.96402,0.84254,0.20876,0.38408,0.3681,0.000533286,0.000533286,0.000533286
35,2879.35,0.66203,0.53454,1.05926,0.96144,0.91065,0.95987,0.83396,0.21256,0.34602,0.37172,0.000519143,0.000519143,0.000519143
36,2961.07,0.63897,0.51905,1.0495,0.95828,0.92618,0.96361,0.83839,0.21053,0.22272,0.36936,0.000505,0.000505,0.000505
37,3042.68,0.62366,0.50637,1.04181,0.95223,0.91389,0.96357,0.83918,0.20691,0.31115,0.36691,0.000490857,0.000490857,0.000490857
38,3124.24,0.63248,0.51915,1.04012,0.96275,0.92463,0.96806,0.8448,0.20563,0.22633,0.36691,0.000476714,0.000476714,0.000476714
39,3206.63,0.63561,0.5087,1.04508,0.9656,0.9159,0.96774,0.85059,0.20094,0.22363,0.36573,0.000462571,0.000462571,0.000462571
40,3289.71,0.62602,0.49309,1.03725,0.95929,0.91537,0.9627,0.84652,0.20283,0.2747,0.36641,0.000448429,0.000448429,0.000448429
41,3371.58,0.62216,0.49909,1.03828,0.96176,0.92852,0.96892,0.85383,0.20059,0.29505,0.36418,0.000434286,0.000434286,0.000434286
42,3453.45,0.61751,0.48591,1.03375,0.96818,0.92205,0.97039,0.86064,0.19853,0.20789,0.36326,0.000420143,0.000420143,0.000420143
43,3535.01,0.61546,0.48672,1.03552,0.96627,0.91258,0.96699,0.85749,0.19557,0.20149,0.36301,0.000406,0.000406,0.000406
44,3616.1,0.61186,0.50306,1.02884,0.97851,0.90365,0.9663,0.85885,0.19493,0.27503,0.36163,0.000391857,0.000391857,0.000391857
45,3698.43,0.60676,0.49172,1.02596,0.96896,0.92075,0.96867,0.859,0.19503,0.18637,0.36173,0.000377714,0.000377714,0.000377714
